Username,Date,Favorites,Retweets,Hashtags,Text
TornadoNewsLink,2018-10-31 21:17:46+00:00,0,1,"['#Rabbi', '#WhiteGenocide', '#Trump', '#Soros', '#NWO', '#Rothschild', '#UKIP', '#Brexit', '#TommyRobinson', '#Halloween', '#WHUTOT', '#ARSBLA', '#CHEDER', '#GoldmanSachs']",#Rabbi Admits #WhiteGenocide Is The Goal https://www. youtube.com/watch?v=QHoXzf zJHtI … #Trump #Soros #NWO #Rothschild #UKIP #Brexit #TommyRobinson #Halloween #WHUTOT #ARSBLA #CHEDER #GoldmanSachs https:// twitter.com/paulkrugman/st atus/1054011151082758144 …
HowarthJudd,2018-10-31 21:15:55+00:00,0,2,"['#brexit', '#brexitshambles', '#Brexiteers', '#ukip', '#StopBrexit', '#leave', '#FBPE', '#DespiteBrexit', '#cleanbrexit', '#BrexitBritain', '#EU']",#brexit #brexitshambles #Brexiteers #ukip #StopBrexit #leave #FBPE #DespiteBrexit #cleanbrexit #BrexitBritain #EU https:// twitter.com/donnyc1975/sta tus/1057729297862066183 …
JohnB250379,2018-10-31 20:54:45+00:00,0,0,"['#Conservatives', '#Brexit', '#UKIP', '#Tories']","WTO exit could be good for the economy if we had a government who is looking to take advantage of our new freedoms. On the other hand, if we have a government who will spend the next 5 years begging for scraps at the EU s catflap then..... #Conservatives #Brexit #UKIP #Tories"
Tinman762,2018-10-31 20:33:47+00:00,0,0,"['#StandUp4Brexit', '#Brexit', '#ForBritain', '#UKIP']",Shit yeah! Bring it on! I really think this is going to be the outcome! The EU is finished! #StandUp4Brexit #Brexit #ForBritain #UKIP https://www. express.co.uk/news/world/103 8803/Italy-news-euro-eurozone-Italian-budget-European-Union-Matteo-Salvini-Francesca-Donato/amp?__twitter_impression=true …
WinstonUmbecki,2018-10-31 20:28:45+00:00,0,0,['#UKIP'],"David Kurten ( #UKIP ) on Sadiq Khan, Islamic Grooming Gangs and the Batten/Farage Controversy https://www. youtube.com/watch?v=zGMkIe d1rGA …"
FraAngelone,2018-10-31 20:25:53+00:00,0,0,"['#Tajani', '#Farage', '#ukip', '#Ue']","A proposito di #Tajani che imbruttisce #Farage , si pronuncia uno dei deputati che rideva insieme al leader dell' #ukip : Non siamo nostalgici del comunismo o del nazismo e per noi può anche finire qui, ma dire che l' #Ue ha posto fine al nazismo è offensivo https://www. politico.eu/wp-content/upl oads/2018/10/HenkelTajani.pdf?utm_source=POLITICO.EU&utm_campaign=8ffe6f9336-EMAIL_CAMPAIGN_2018_10_26_04_38&utm_medium=email&utm_term=0_10959edeb5-8ffe6f9336-190379917 …"
599bt,2018-10-31 20:01:21+00:00,0,0,['#UKIP'],Gerrard Batten #UKIP - Absolute moron. https:// twitter.com/andrewpolitics /status/1057544649978580992 …
BeeAHoney_,2018-10-31 19:59:55+00:00,2,1,['#UKIP'],"The party will split, I suspect. I wont vote for them, neither will my sons, or other @Conservatives I know, we'll switch to #UKIP . And I hope 17.4m people do likewise."
northlondonpoly,2018-10-31 19:53:32+00:00,0,0,"['#UKIP', '#Bot']",#UKIP #Bot Blocked https:// twitter.com/JeanDifford/st atus/1057721682662752256 …
RealNewsUK,2018-10-31 19:50:46+00:00,0,0,"['#MSM', '#Tories', '#london', '#brexit', '#altnews', '#lbc', '#lbclive', '#lbcbreaking', '#skynews', '#skypapers', '#westminster', '#remain', '#ukip', '#qanon', '#bbcswitchoff', '#ukparliament', '#talkradio', '#leave', '#MSM']",WE WILL NEVER FORGET: Criminal betrayal of the British population by #MSM & #Tories is a Crime Against Humanity. #london #brexit #altnews #lbc #lbclive #lbcbreaking #skynews #skypapers #westminster #remain #ukip #qanon #bbcswitchoff #ukparliament #talkradio #leave #MSM
Fifthcolumnblue,2018-10-31 19:48:02+00:00,9,6,"['#Racialpurity', '#WhiteSupremacist', '#UKIP', '#EDL', '#Identitarian', '#BritainFirst']","#Racialpurity is “scientifically meaningless,"" say 8,000 geneticists But being a #WhiteSupremacist dickhead clearly runs in the genes #UKIP #EDL #Identitarian #BritainFirst https:// bigthink.com/politics-curre nt-affairs/racial-purity-is-scientifically-meaningless-say-8-000-geneticists?fbclid=IwAR22d1E6XWSyuJI99k8VbN2txNu5kT1Uenunqn67M_E-7YE5GfEhRkyyil0 …"
HowarthJudd,2018-10-31 19:47:58+00:00,0,1,"['#brexit', '#brexitshambles', '#Brexiteers', '#ukip', '#StopBrexit', '#leave', '#FBPE', '#DespiteBrexit', '#cleanbrexit', '#BrexitBritain', '#EU']",#brexit #brexitshambles #Brexiteers #ukip #StopBrexit #leave #FBPE #DespiteBrexit #cleanbrexit #BrexitBritain #EU https:// twitter.com/Anna_Soubry/st atus/1055930877249761280 …
HowarthJudd,2018-10-31 19:37:02+00:00,0,1,"['#brexit', '#brexitshambles', '#Brexiteers', '#ukip', '#StopBrexit', '#leave', '#FBPE', '#DespiteBrexit', '#cleanbrexit', '#BrexitBritain', '#EU']",Oops. #brexit #brexitshambles #Brexiteers #ukip #StopBrexit #leave #FBPE #DespiteBrexit #cleanbrexit #BrexitBritain #EU https:// twitter.com/Keir_Starmer/s tatus/1057706775737196544 …
HowarthJudd,2018-10-31 19:29:11+00:00,0,1,"['#brexit', '#brexitshambles', '#Brexiteers', '#ukip', '#StopBrexit', '#leave', '#FBPE', '#DespiteBrexit', '#cleanbrexit', '#BrexitBritain', '#EU']",#brexit #brexitshambles #Brexiteers #ukip #StopBrexit #leave #FBPE #DespiteBrexit #cleanbrexit #BrexitBritain #EU https:// twitter.com/peoplesvote_uk /status/1057645827584413696 …
HowarthJudd,2018-10-31 19:27:55+00:00,0,1,"['#brexit', '#brexitshambles', '#Brexiteers', '#ukip', '#StopBrexit', '#leave', '#FBPE', '#DespiteBrexit', '#cleanbrexit', '#BrexitBritain', '#EU']",#brexit #brexitshambles #Brexiteers #ukip #StopBrexit #leave #FBPE #DespiteBrexit #cleanbrexit #BrexitBritain #EU https:// twitter.com/cirian75/statu s/1057616350049382400 …
Grownmangrumble,2018-10-31 19:27:29+00:00,1,0,['#ukip'],Or if you've wound up in the middle or a #ukip rally...
HowarthJudd,2018-10-31 19:21:23+00:00,0,1,"['#brexit', '#brexitshambles', '#Brexiteers', '#ukip', '#StopBrexit', '#leave', '#FBPE', '#DespiteBrexit', '#cleanbrexit', '#BrexitBritain', '#EU']",#brexit #brexitshambles #Brexiteers #ukip #StopBrexit #leave #FBPE #DespiteBrexit #cleanbrexit #BrexitBritain #EU https:// twitter.com/DavidLammy/sta tus/1057602134215139330 …
jjlincoln7,2018-10-31 19:20:41+00:00,0,0,"['#conservatives', '#Labour', '#ukip']",Not so big for true small business not on the high street ( I guess because we make up the majority ) not so good for the wealthy old person in care homes who paid in all there life and have to pay after death . Shameful ... #conservatives #Labour finished at next election #ukip https:// twitter.com/LiamFox/status /1057712283319709698 …
TornadoNewsLink,2018-10-31 19:20:30+00:00,1,2,"['#Conservative', '#GeorgeOsborne', '#ChrisBryant', '#Parliament', '#BBC', '#UKIP', '#Brexit', '#Infowars', '#TommyRobinson', '#Halloween', '#WHUTOT', '#Politics', '#EveningStandard', '#ARSBLA', '#Soros']",#Conservative #GeorgeOsborne SLURS GAY MP #ChrisBryant In #Parliament https://www. youtube.com/watch?v=Z_UPGt jA7iM … #BBC #UKIP #Brexit #Infowars #TommyRobinson #Halloween #WHUTOT #Politics #EveningStandard #ARSBLA #Soros
TornadoNewsLink,2018-10-31 19:11:49+00:00,1,1,"['#EdMiliband', '#GeorgeOsborne', '#HouseofCommons', '#BBC', '#UKIP', '#Brexit', '#Infowars', '#TommyRobinson', '#Halloween', '#WHUTOT', '#Politics', '#EveningStandard', '#ARSBLA']",#EdMiliband SEX JIBE #GeorgeOsborne - #HouseofCommons https://www. youtube.com/watch?v=fSHOv1 qSpX4 … #BBC #UKIP #Brexit #Infowars #TommyRobinson #Halloween #WHUTOT #Politics #EveningStandard #ARSBLA
se5_camberwell,2018-10-31 19:09:02+00:00,0,0,['#UKIP'],This man is just a joke #UKIP https:// twitter.com/andrewpolitics /status/1057544649978580992 …
