Username,Date,Favorites,Retweets,Hashtags,Text
euromidd,2013-01-24 16:30:18+00:00,0,0,"['#David', '#Cameron', '#Number10gov', '#EU', '#foreignoffice']",#David #Cameron #Number10gov #EU #foreignoffice كاميرون: بريطانيا تريد التفاوض على اتفاق جديد مع أوروبا http:// euromidnews.com/ar/N171/%D9%83 %D8%A7%D9%85%D9%8A%D8%B1%D9%88%D9%86-%D8%A8%D8%B1%D9%8A%D8%B7%D8%A7%D9%86%D9%8A%D8%A7-%D8%AA%D8%B1%D9%8A%D8%AF-%D8%A7%D9%84%D8%AA%D9%81%D8%A7%D9%88%D8%B6-%D8%B9%D9%84%D9%89-%D8%A7%D8%AA%D9%81%D8%A7%D9%82-%D8%AC%D8%AF%D9%8A%D8%AF-%D9%85%D8%B9-%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7 … …
Kuttenmonster,2013-01-24 16:29:53+00:00,0,0,"['#EU', '#Davos', '#Merkel', '#Cameron']","Mutti weicht nicht aus, die sitzt das aus ;o) - #EU -Debatte in #Davos : #Merkel weicht Showdown mit #Cameron aus http:// bit.ly/WibePg"
marcoRecorder,2013-01-24 16:29:13+00:00,0,2,"['#Europe', '#Cameron', '#thespeech', '#EP']",What #Europe looks like after #Cameron ’s #thespeech : the road towards the 2014 #EP elections via @federalists http:// buff.ly/WQop7P
Leila_MA,2013-01-24 16:28:14+00:00,0,0,"['#Cameron', '#EU', '#Europe', '#Davos']",This week's cover of The Economist: http://www. economist.com/printedition/c overs/2013-01-24/uk … #Cameron #EU #Europe #Davos
NORBET,2013-01-24 16:27:56+00:00,0,0,"['#Cameron', '#TORY', '#BEDROOMTAX']",David #Cameron mugs the hard-up but gives his rich chums perks http:// mirr.im/W1WzXN via @DailyMirror #TORY #BEDROOMTAX
ormiga,2013-01-24 16:27:42+00:00,0,0,"['#cameron', '#euro', '#STFU', '#merkel', '#fun', '#nico']",#cameron ! KICK! obstinate kid GET OUT OF #euro zone #STFU eh #merkel is #fun JA? #nico is right HAHAHA-queen carlasegolenevalerie @elysee
BertSonneveld,2013-01-24 16:26:48+00:00,0,0,['#Cameron'],"@arievrie De derde dus. #Cameron : analyse van Eurocrisis, concurrentiekracht & draagvlak klopt. Oplossingen werpen ons terug naar jaren 80."
READY2MIX,2013-01-24 16:26:46+00:00,0,0,"['#cameron', '#EU']",@NewStatesman @jamesmaxwell86 scotland could help forge a new UK with devo max for all members just like #cameron is trying to do in #EU
WSJLA,2013-01-24 16:26:36+00:00,0,1,['#Cameron'],#Cameron für Freihandelsabkommen mit USA > Kleine Zeitung http://www. kleinezeitung.at/nachrichten/po litik/3228059/cameron-fuer-freihandelsabkommen-usa.story …
Mike_Slootweg,2013-01-24 16:25:42+00:00,0,0,['#cameron'],"Nog even over #cameron en mijn visie op the UK: either tow it away, or make a hole in it and sink it..."
Herald_City,2013-01-24 16:25:33+00:00,0,4,['#Cameron'],#Cameron County has moved 196 inmates out of the old county jail because of hot water issues. Some inmates moved to Brooks County.
bjwva,2013-01-24 16:25:08+00:00,0,0,['#Cameron'],About 1.6 million Europeans call the UK home – David #Cameron would see us trampled on the road to electoral victory http:// gu.com/p/3dagn/tw
scarletmonahan,2013-01-24 16:24:26+00:00,0,0,"['#IanDuncansmith', '#DavidCameronthe', '#THATCHER', '#OSBORNE', '#CAMERON']",#IanDuncansmith and #DavidCameronthe long term blind and disabled http:// youtu.be/jgyX5yY98F4 #THATCHER #OSBORNE #CAMERON
rad2bike,2013-01-24 16:24:15+00:00,1,0,"['#eu', '#cameron']","@wolfgang_thies Ev. plant EU-Diktatoren (Kommission) ein CO2-Zertifikat, was EU Bürger kaufen müssen wegen verbrauchter Luft #eu #cameron"
RealMiller,2013-01-24 16:23:40+00:00,0,0,"['#Dave', '#Cameron', '#TheSpeech']","“@SJacksonMP: Nick Clegg whining about PM's speech. Not very statesmanlike."" So #Dave #Cameron #TheSpeech is a statesman then? What a joke"
LibardoBuitrago,2013-01-24 16:23:10+00:00,0,0,"['#David', '#Cameron']",#David #Cameron pide cooperación internacional para reducir evasión fiscal... en http:// ow.ly/h6190
Leonard_Hess,2013-01-24 16:21:40+00:00,0,0,"['#Merkel', '#Cameron']","#Merkel weicht Showdown mit #Cameron aus http:// spon.de/adQXS Eiskalt. besser kann man 2Mir ist dein Geheule egal"" nicht sagen"
scarletmonahan,2013-01-24 16:21:25+00:00,0,0,"['#williamhague', '#satire', '#politics', '#cameron', '#osborne']",#williamhague Spawn The foreign secretary....you cannot be serious!! http:// yfrog.com/4j7nnfj #satire #politics #cameron #osborne
Lantidiplomatic,2013-01-24 16:21:24+00:00,0,0,['#Cameron'],"""La Gran Bretagna non sta voltando le spalle all'Europa"", David #Cameron al World Economic Forum di Davos http://www. lantidiplomatico.it/dettnews.php?i dx=11&pg=3233 …"
IsraNed,2013-01-24 16:21:15+00:00,0,0,['#Cameron'],RT @WSJLA : Gegen #Cameron : Martin Schulz kündigt EU-Werbekampagne auf der Insel an http:// tinyurl.com/bbs2e36 <-- Europese agitprop
MarieAdeM,2013-01-24 16:19:26+00:00,0,0,"['#Merkel', '#Cameron', '#compromis', '#référendum']","En se disant prête à discuter avec le Royaume-Uni, #Merkel incarne une fois de plus le leadership européen #Cameron #compromis #référendum"
Kate_Allen1,2013-01-24 16:19:07+00:00,0,0,"['#EU', '#cameron', '#europe', '#worldeconomicforum']","Unsurprising coming from the UK, a typically #EU -skeptic country: http:// uk.reuters.com/article/2013/0 1/24/uk-davos-cameron-europe-idUKBRE90N0CY20130124 … #cameron #europe #worldeconomicforum"
Nina_Trentmann,2013-01-24 16:17:08+00:00,0,0,"['#Europa', '#Cameron', '#Konservative']","Immer #Europa , stöhnte #Cameron 2005. Nun reden Großbritanniens #Konservative wieder darüber, dank wem? https:// twitter.com/intent/tweet?o riginal_referer=http%3A%2F%2Fwww.spiegel.de%2Fpolitik%2Fausland%2Feu-partner-wollen-cameron-vor-britischem-eu-referendum-nicht-helfen-a-879328.html&text=Britisches%20EU-Referendum%3A%20Europ%C3%A4er%20lassen%20Cameron%20auflaufen&tw_p=tweetbutton&url=http%3A%2F%2Fspon.de%2FadQUS&via=SPIEGELONLINE …"
JoeThorpe1963,2013-01-24 16:14:39+00:00,0,0,"['#Cameron', '#EU']",David #Cameron 's #EU speech is a 'wake-up call' - http://www. publicserviceeurope.com/article/3002/d avid-camerons-eu-speech-was-a-wake-up-call …
Redpeter99,2013-01-24 16:14:24+00:00,4,31,['#Cameron'],If in 3 years I'd reduced my credit card bill by 25% but INCREASED my mortgage by 60% I'd keep quiet. Not #Cameron . He thinks he's done well
XinhuaEurope,2013-01-24 16:14:21+00:00,0,0,"['#DAVOS', '#Cameron']",#DAVOS #Cameron says his EU speech not about turning backs on Europe http:// news.xinhuanet.com/english/world/ 2013-01/24/c_132125520.htm … @davos
ProEUideas,2013-01-24 16:14:07+00:00,0,0,['#Cameron'],@eurocrat 'would ( #Cameron ) accept a reduction in the number of British EU public servants?' Or their salaries on six-figure’? Doubtful.
GJConsulting,2013-01-24 16:13:58+00:00,0,0,"['#Cameron', '#Davos']",RT @WELT_News : #Cameron in #Davos : Big David klingt wie George W. Bush im Jahr 2004 http:// on.welt.de/10CCxT8 via @welt
Oliver_Classen,2013-01-24 16:13:48+00:00,0,0,"['#WEF', '#Cameron', '#Rohstoff', '#G8']",Endlich klare #WEF -Worte: #Cameron setzt globale #Rohstoff -Transparenz oben auf seine #G8 -Präsidentschaftsagenda. http:// bit.ly/UmYbeC
ThomasWalde,2013-01-24 16:12:50+00:00,0,1,['#Cameron'],"brit. Botschaft schreibt, #Cameron -Europarede habe ""viel Schlagzeilen inspiriert"". Beispiel für britisches Understatement."
twittos75,2013-01-24 16:12:29+00:00,0,0,"['#Avatar', '#plagiat', '#Cameron']",#Avatar accusé de #plagiat : James #Cameron doit livrer ses brouillons à la justice http://www. premiere.fr/Cinema/News-Ci nema/Avatar-accuse-de-plagiat-James-Cameron-doit-livrer-ses-brouillons-a-la-justice-3646568 …
rsi99,2013-01-24 16:12:27+00:00,0,0,['#Cameron'],Ist #Cameron vielleicht der Sarrazin Europas?
no2tories,2013-01-24 16:11:44+00:00,0,1,"['#RobinHoodTax', '#Cameron']",23 EU countries support #RobinHoodTax ! Shame on #Cameron for being one of the 4 resisters. Time to up the pressure.
scarletmonahan,2013-01-24 16:10:21+00:00,0,0,"['#cameron', '#satire', '#humor', '#conservative', '#Thatcher', '#zombie', '#liar', '#news', '#Osborne']",Camerrhoids - they named them after me pic.twitter.com/vdFZOaZP #cameron RT #satire #humor #conservative #Thatcher #zombie #liar #news #Osborne
mharrislondon,2013-01-24 16:09:01+00:00,0,0,['#Cameron'],"Clamp down on tax avoidance?. Mr #Cameron , how much more tax are you expecting us to pay?. What a joke."
WSJLA,2013-01-24 16:08:54+00:00,0,1,['#Cameron'],Gegen #Cameron : Martin Schulz kündigt EU-Werbekampagne auf der Insel an http:// tinyurl.com/bbs2e36
qadershafiq,2013-01-24 16:08:41+00:00,0,0,"['#Cameron', '#Britse']",Denkend aan #Cameron herinner ik me de prettige samenwerking met #Britse beleidsmakers over Inclusie&diversiteit in onderwijs. Zij w pro-EU!
stuckinscared,2013-01-24 16:06:56+00:00,0,1,['#Cameron'],'ASPIRATIONS OF A BENEFIT SCROUNGER! http:// mentalillnessgodandme.blogspot.com/2012/10/aspira tion-nation-hah.html?spref=tw … #Cameron
Veracity4U,2013-01-24 16:06:21+00:00,0,0,"['#SCAMeron', '#cameron', '#ukip', '#EU', '#UK', '#tory', '#UnitedStatesofEurope']",#SCAMeron #cameron 's crackpot popularism pandering to screwball #ukip #EU rophobia risks #UK viability. #tory FOOLS #UnitedStatesofEurope !
gnutiez,2013-01-24 16:01:45+00:00,0,0,"['#cameron', '#europa', '#frauen', '#apple', '#großbritannien', '#nordkorea', '#euro', '#dollar', '#brüderle', '#merkel']",17Uhr Pressethemen http:// gnutiez.de : #cameron #europa #frauen #apple #großbritannien #nordkorea #euro #dollar #brüderle #merkel
CarstenVolkery,2013-01-24 16:01:24+00:00,2,0,"['#EU', '#Cameron']",Gideon Rachman sums up the feeling on the continent. That's exactly what they are saying. http:// on.ft.com/Vut4wJ #EU #Cameron
Veldeman_Celine,2013-01-24 16:01:05+00:00,0,0,"['#EU', '#Cameron']",Onze premier voor sterkere harmonisering EU want kan het eigenlijk anders?! http://www. standaard.be/artikel/detail .aspx?artikelid=DMF20130124_054 … #EU #Cameron
ThomasWalde,2013-01-24 15:59:56+00:00,0,1,"['#Cameron', '#Schadensbegrenzung']","selten: brit. Aussenmin verschickt dt. Übersetzung von #Cameron Rede. Betont, UK wolle mit EU-Partnernzusammenarbeiten. #Schadensbegrenzung"
starshaktihart,2013-01-24 15:57:35+00:00,0,0,"['#Cameron', '#Davos']",The truth between the lines of #Cameron 's #Davos speech http:// m.guardian.co.uk/commentisfree/ 2013/jan/24/david-cameron-tax-avoidance-davos-speech …
Leendert,2013-01-24 15:57:23+00:00,0,1,"['#Twitter', '#Cameron']",Check how #Twitter reacted to David #Cameron 's Europe speech http:// on.fb.me/UZbHnS Infographic from @Kantar & @vigiglobe cc @tns_global
sportsfeedia,2013-01-24 15:56:43+00:00,0,0,"['#Cameron', '#Ravens']","Cam #Cameron on his firing: ""It was a brilliant move,""""Everyone on the team took a look in the mirror after that."" #Ravens"
mhewson_CMC,2013-01-24 15:56:18+00:00,0,0,"['#euro', '#cameron']",UK Referendum Call Polarises Europe http:// huff.to/10CzQRv via @HuffPostUKPol My thoughts on referendum question #euro #cameron
Barnesy19,2013-01-24 15:55:39+00:00,0,0,"['#EU', '#Cameron', '#EUReferendum']",Hoping for a renegotiation of #EU powers is a massive gamble for #Cameron didn't know he had it in him #EUReferendum
csdoubleyouu,2013-01-24 15:55:37+00:00,0,0,"['#Siblings', '#Cameron', '#Chyna', '#Caleb']",Christmas break. #Siblings #Cameron #Chyna #Caleb (Caleb is such a creep in the top right pic) http:// instagr.am/p/U30ztVNqEh/
NadiaGorchakova,2013-01-24 15:54:16+00:00,1,0,"['#Cameron', '#referendum']",#Cameron effect: Austria's far-right party leader says #referendum would bring direct democracy back home via @EurActiv
marcoRecorder,2013-01-24 15:54:07+00:00,0,0,"['#Cameron', '#thespeech']","#Cameron ’s optimistic, risky and ambiguous strategy #thespeech via @cer_london http:// cer.us2.list-manage.com/track/click?u= e5ac52c2f8bd1b249ef1a8d18&id=06eb5fba0f&e=db031d17c2 …"
JoeThorpe1963,2013-01-24 15:54:01+00:00,0,0,['#Cameron'],#Cameron takes aim at corporate tax avoiders - http:// reut.rs/WooEWD
marcoRecorder,2013-01-24 15:52:21+00:00,0,0,"['#Cameron', '#speech']","Mr. #Cameron , What About European Defense and Security? #speech via @Carnegie_Europe http://www. msgapp.com/c.aspx?l=CHZD0 958190011553528YYY2AD …"
grahphil,2013-01-24 15:51:42+00:00,0,0,"['#Cameron', '#debt']",Fraser Nelson: #Cameron tells porkies about Britain's national #debt » Spectator Blogs http:// specc.ie/VXi6Rt
rad2bike,2013-01-24 15:51:41+00:00,1,0,"['#Glühbirnenverbot', '#cameron', '#eu', '#diktat', '#eukommission', '#euparlament', '#euvorschrift', '#europa', '#Glühlampenverbot', '#Richtlinie']",http:// orf.at/stories/215849 9/2158500/ … #Glühbirnenverbot #cameron #eu #diktat #eukommission #euparlament #euvorschrift #europa #Glühlampenverbot #Richtlinie
jonathanfryer,2013-01-24 15:51:01+00:00,0,0,"['#Cameron', '#EU']",New blogpost: #Cameron 's #EU Schizophrenia http://www. jonathanfryer.wordpress.com
grahphil,2013-01-24 15:50:17+00:00,1,1,['#Cameron'],"#Cameron ’s policy is to increase Britain’s debt by 60%, more than any European country increase it more over 5 yrs than Labour did over 13"
JoeThorpe1963,2013-01-24 15:49:47+00:00,0,0,"['#UK', '#Cameron']",#UK PM David #Cameron takes aim at corporate tax avoiders - http:// reut.rs/WooEWD
MartinShovel,2013-01-24 15:49:45+00:00,0,2,"['#Cameron', '#EU']",My cartoon - ball-boy Dave gets a bit of a kicking #Cameron #EU pic.twitter.com/n3i8FVUI
VicRiosFigueroa,2013-01-24 15:48:55+00:00,0,0,"['#Cameron', '#Davos']",David #Cameron 's #Davos keynote speech targets tax avoiders http:// sns.mx/Vloay8
antonioderuda,2013-01-24 15:48:51+00:00,0,0,"['#Cameron', '#UE']",RT @giulia_riccio : La versione italiana del discorso di ieri del PM #Cameron su UK e #UE è online su @ukinitaly http:// ow.ly/h5MPh
rad2bike,2013-01-24 15:45:48+00:00,1,0,"['#Cameron', '#EU', '#kommission', '#euparlament']",#Cameron kämpft gegen EU Diktat.Österreich sollte das auch.Kommission ist nicht gewählt! http:// orf.at/stories/216295 7/2162951/ … #EU #kommission #euparlament
Infosel,2013-01-24 15:45:16+00:00,0,0,['#Cameron'],#Cameron : No le daremos la espalda a Europa.
pricetim,2013-01-24 15:44:54+00:00,0,0,"['#Cameron', '#thespeech']",Good analysis by @CER_Grant ; still think Merkel wants treaty change but is not in rush http:// shar.es/CvmAC #Cameron #thespeech
Parisa_em,2013-01-24 15:44:41+00:00,0,0,"['#Cameron', '#referendum', '#thehague', '#Dutch', '#Politics', '#follow', '#UK']",omg! #Cameron says 1 word: #referendum and #thehague aka #Dutch #Politics has to #follow the #UK ! Calm down idiots!
Echeion2012,2013-01-24 15:44:17+00:00,0,0,"['#Cameron', '#UK']","#Cameron , referendum per restare in Europa? #UK divisi http:// ow.ly/h5V1f via @Echeion2012"
scarletmonahan,2013-01-24 15:44:13+00:00,0,0,"['#prime', '#minister', '#skin', '#David', '#Cameron', '#pm', '#flashman']","http:// yfrog.com/0zbptyj #prime #minister sheds #skin @afneil @thatcherbot #David #Cameron #pm #flashman """
AlisonBLowndes,2013-01-24 15:43:33+00:00,0,0,"['#Cameron', '#RobinHoodTax', '#FTT']",#Cameron you tool! 11 European countries say YES to a #RobinHoodTax raising £30bn a year but UK has to abstain #FTT
veemarisa,2013-01-24 15:41:15+00:00,0,0,"['#holiday', '#cameron']",Thanx for everything... :') #holiday #cameron
LostinEU,2013-01-24 15:41:09+00:00,0,0,"['#Merkel', '#Cameron']","#Merkel pusht ihren Wettbewerbspakt - mit Rückenwind von #Cameron . Sieht so ""Rosinenpicken"" aus? http://www. tagesschau.de/wirtschaft/mer kel-davos100.html …"
