Username,Date,Favorites,Retweets,Hashtags,Text
universaldream9,2016-06-25 23:50:04+00:00,0,0,"['#Brexit', '#Exploitation', '#gov', '#referendum']",A #Brexit campaign based solely on outright lies & false promises. #Exploitation I hope #gov will repeal #referendum https:// twitter.com/D_Blanchflower /status/746835074755215360 …
EdouardDugas,2016-06-25 23:50:01+00:00,1,0,"['#polqc', '#polcan', '#brexit', '#europe']",Je crois te comprendre mais j'ai des réserves sur ton langage. #polqc #polcan #brexit #europe https:// twitter.com/Arsenel99/stat us/746852068577710080 …
cordeiro876,2016-06-25 23:50:01+00:00,0,1,['#Brexit'],So true. After this referendum I wouldn't trust many MP's to handle our #Brexit affairs. Nigel has to be involved https:// twitter.com/MungoMouthpiec e/status/746808334741798912 …
Cordyleps,2016-06-25 23:50:00+00:00,0,0,"['#Brexit', '#EURefResults']",THE QUEEN LOOKING AT DAVID CAMERON LIKE #Brexit #EURefResults pic.twitter.com/2Q11CCmASc
VaTxn,2016-06-25 23:50:00+00:00,0,0,['#Brexit'],"Dream on, Loser People. And Mr Trump was there on the scene! #Brexit @smileyt22 @cspanwj @JamesinSELA"
itsahmed84,2016-06-25 23:49:57+00:00,0,0,['#Brexit'],"Exactly Nothing hurt markets more than uncertainty, many investment decisions will be effected by this #Brexit https:// twitter.com/duncanweldon/s tatus/746817731278802945 …"
jamesmart_in,2016-06-25 23:49:56+00:00,1,0,['#Brexit'],Sign for a 2nd chance to avoid #Brexit (via @joakirk ) https:// petition.parliament.uk/signatures/215 06041/signed/qdSBFr4NuFeKUs6xKYl …
jillciminillo,2016-06-25 23:49:55+00:00,1,0,['#brexit'],Pimms & lemonade #brexit https://www. instagram.com/p/BHGLRBIBOwC/
thatgeordiegirl,2016-06-25 23:49:55+00:00,0,0,['#Brexit'],Excellent writing which sums up my conflicting views on #Brexit as someone with 'Prole roots and a bourgeois life' https:// twitter.com/VictoriaPeckha m/status/746621556357537792 …
AlexBuccianti,2016-06-25 23:49:54+00:00,2,2,['#Brexit'],A lot of #Brexit voters don't actually know what the European Union is http:// theweek.com/speedreads/632 195/lot-brexit-voters-dont-actually-know-what-european-union …
gritterdotcom,2016-06-25 23:49:54+00:00,9,11,"['#IAgreeWithNick', '#Brexit']",Oh my god. Right down to Trump celebrating on telly! #IAgreeWithNick #Brexit https:// twitter.com/Puffles2010/st atus/746849507363721216 …
soder606,2016-06-25 23:49:53+00:00,0,0,['#Brexit'],God help Britain. Nothing good will come of #Brexit https:// twitter.com/clairelatkinso n/status/746831257166811137 …
LondonAgainstTr,2016-06-25 23:49:51+00:00,2,0,"['#NHS', '#EuRef', '#Leave', '#Brexit']",Now keep the promise of £350m a week for our #NHS - Sign the petition: #EuRef #Leave #Brexit http:// 38d.gs/28XDpQI
MARIELinBOSTON,2016-06-25 23:49:50+00:00,0,0,"['#EuropeanUnion', '#WorldEconomy', '#UK', '#Brexit']",What European Country Could ‘Brexit’ Next? via @FortuneMagazine http:// for.tn/291SoHr?xid=fo r_tw_sh.#EuropeanUnion … #WorldEconomy #UK #Brexit
Sciencegreat,2016-06-25 23:49:50+00:00,0,109,"['#BREXIT', '#UK']",#BREXIT #UK For all misleaders saying that the petition is not being signed by British. src: https:// petition.parliament.uk/petitions/1312 15.json … pic.twitter.com/wCauqfL89d
RobertAlanWard,2016-06-25 23:49:44+00:00,83,343,['#Brexit'],"We've cut our UK 4cast post #Brexit vote & now expect UK GDP to shrink 1% in 2017 (+1.8% prev). Subdued outlook to 2020, weaker fiscal base."
ridgeback71,2016-06-25 23:49:40+00:00,0,0,"['#IVotedLeave', '#Brexit']",@ajcdeane well said on sky papers review #IVotedLeave #Brexit
lanjenny9552000,2016-06-25 23:49:39+00:00,0,0,['#Brexit'],Go again #Brexit
ckrueg396,2016-06-25 23:49:38+00:00,0,0,['#Brexit'],Why are American citiz shaming the UK for their #Brexit ? Shouldn't we be the ones to encourage and commend this action? @Nero @JoshLeCash
MothgirlX,2016-06-25 23:49:38+00:00,0,0,['#brexit'],Article worth reading right to the bottom: http://www. telegraph.co.uk/news/2016/06/2 5/could-britain-actually-have-a-second-referendum-on-brexit/ … #brexit
K8Marshall,2016-06-25 23:49:38+00:00,1,0,['#Brexit'],especially post #Brexit https:// twitter.com/rvkgrapevine/s tatus/746721817579163649 …
JohnStorch2,2016-06-25 23:49:36+00:00,0,0,['#Brexit'],"@eucopresident @EU_Commission @AngelaMerkeICDU Abandon us now, you lose us forever. We will not support #Brexit government @BorisJohnson"
JackMantle1,2016-06-25 23:49:36+00:00,0,0,"['#NHS', '#EuRef', '#Leave', '#Brexit']",Now keep the promise of £350m a week for our #NHS - Sign the petition: #EuRef #Leave #Brexit http:// 38d.gs/28XDpQI
ugottabekiddin,2016-06-25 23:49:35+00:00,0,0,['#Brexit'],If it were only the xenophobic nationalists voting to leave then remain would have won the referendum. #Brexit
Rubiconski,2016-06-25 23:49:34+00:00,0,1,['#Brexit'],Re-vote petition approaches 3 million David Lammy MP calls for parliament to block #Brexit https:// petition.parliament.uk/petitions/1312 15 … pic.twitter.com/TwQrbu4uw5
rafayagha,2016-06-25 23:49:33+00:00,1,0,['#Brexit'],"When a @guardian online comment is more succinct, rational, direct and exploratory than any actual #Brexit coverage..."
ClarkM80,2016-06-25 23:49:33+00:00,0,0,"['#goodluckcompetingwithchina', '#Brexit', '#ukexports', '#manufacturing', '#50']",I reckon it's pretty obviouse. #goodluckcompetingwithchina #Brexit #ukexports #manufacturing #50%lossofmarket
catcherbloc,2016-06-25 23:49:32+00:00,1,2,"['#Brexit', '#EUreferendum', '#petition']",Some #Brexit voters are now regretting their choice....as call for a second #EUreferendum mounts..... #petition hits over 2.5 million
JDiversidad,2016-06-25 23:49:31+00:00,0,0,['#Brexit'],#Brexit | Más de dos millones de británicos piden repetición del referendo | http:// bit.ly/28Vl8Bp pic.twitter.com/caoNqtBsEe
joaofgf,2016-06-25 23:49:29+00:00,1,0,['#brexit'],#brexit refugiados britânicos são bem vindos.
ProfessorDNA,2016-06-25 23:49:29+00:00,1,2,"['#Demexit', '#Brexit']",I politely disagree. The EU establishment is similar to what us Bernies are fighting against. #Demexit #Brexit https:// twitter.com/Bert_HappyDog/ status/746830264526053377 …
MatthewRhodes,2016-06-25 23:49:29+00:00,3,3,['#Brexit'],"Ponder this thought from my friend @smwebster ""Boris didn't want us to leave and Corbyn didn't want us to stay."" #Brexit"
littehoddor,2016-06-25 23:49:29+00:00,1,0,"['#GeorgeOsborne', '#EUref', '#Brexit', '#WheresGeorge']",#GeorgeOsborne at the thought of the post #EUref #Brexit budget #WheresGeorge pic.twitter.com/tTGpCw9daV
AngloCatalans,2016-06-25 23:49:28+00:00,0,0,"['#Catalonia', '#Brexit']",#Catalonia sees bond yields rise after #Brexit vote - Reuters http:// ow.ly/IqrH301Dwne
miquimel,2016-06-25 23:49:28+00:00,0,0,"['#Catalonia', '#Brexit']",#Catalonia sees bond yields rise after #Brexit vote - Reuters http:// ow.ly/IqrH301Dwne
SharpSister,2016-06-25 23:49:28+00:00,0,0,['#Brexit'],Northern Ireland running out of Irish passport applications... #Brexit https:// twitter.com/BrexitWatch/st atus/746687055565029377 …
JeremyBeckwith1,2016-06-25 23:49:28+00:00,0,3,['#Brexit'],Probably the happiest man post Brexit is Putin. #Brexit is pretty bad for EU in geopolitical terms. http:// wapo.st/28V6eeh?tid=ss _tw …
JonathanRabbitt,2016-06-25 23:49:28+00:00,0,0,['#Brexit'],Ignorance rife within the #Brexit vote; many think they're voting for a PM rather than local member. @camerondickqld @BarnsGreg
IllmaticAries82,2016-06-25 23:49:27+00:00,0,0,['#Brexit'],This #Brexit shit fucked up my 401k
valerio_romeo,2016-06-25 23:49:27+00:00,0,0,"['#UE', '#Brexit']",filo #UE definiscono di DX #Brexit ma sono gli stessi che usano i fascisti contro governi legittimi https:// aurorasito.wordpress.com/i-sostenitori- italiani-di-pravyj-sektor/ …
Khcephas,2016-06-25 23:49:26+00:00,0,0,['#Brexit'],UK will soon be leaving #Brexit
WallyDigitalGrp,2016-06-25 23:49:26+00:00,0,0,['#Brexit'],ICYMI: How U.K. ad industry tried to urge young Brits to vote against #Brexit http:// bit.ly/2911PsX pic.twitter.com/654UEUNrFF
OlofMeister_99,2016-06-25 23:49:24+00:00,0,0,"['#Brexit', '#recession']",@Rameezay It's going to be so funny when the common britisher finds out what #Brexit actually means for him. #recession
tahaafouad,2016-06-25 23:49:24+00:00,0,0,['#Brexit'],#Brexit We r afraid of Muslims ... So let's leave the EU
pretorhunter,2016-06-25 23:49:23+00:00,1,0,['#Brexit'],I appreciated this pun #Brexit pic.twitter.com/7hDnvzwM6D
andrebernal26,2016-06-25 23:49:23+00:00,0,1,"['#brexit', '#pride2016']",¡HAGAMOS ZOOM A LA NOTICIA está disponible! http:// paper.li/andrebernal26/ 1406936997?edition_id=6fba2270-3b2f-11e6-92d0-0cc47a0d1605 … Gracias a @ALVAROHPRADA @FPizarro_DC @MiguelABernalV #brexit #pride2016
