Username,Date,Favorites,Retweets,Hashtags,Text
PoderPoliticoMx,2017-03-30 23:23:16+00:00,2,3,['#Brexit'],Tras la confirmación del #Brexit ni el Reino Unido ni la Unión Europea pueden quedar conformes. pic.twitter.com/hVyC5iiGin
TeeDeeBee44,2017-03-30 23:22:41+00:00,0,0,"['#EU', '#brexit']",@HardballChris @hardball What kind of investigation or action would Brits and #EU take if suspected Russia affected #brexit vote?
paulj388,2017-03-30 23:22:34+00:00,1,1,"['#WestminsterAttack', '#aprilfoolsday', '#bbcqt', '#brexit']",The cheek! The #WestminsterAttack crisis actors check into a hotel! https:// youtu.be/c5QWDidkH7M This is not #aprilfoolsday #bbcqt #brexit
ianmcconnellHT,2017-03-30 23:22:27+00:00,0,0,"['#Tory', '#Brexit', '#Dastardly', '#Baldrick']",My column: #Tory #Brexit plan makes #Dastardly and #Baldrick look like class acts http://www. heraldscotland.com/opinion/151940 66.Ian_McConnell__Tory_Brexit_plan_makes_Dastardly_and_Baldrick_look_like_class_acts/?ref=twtrec …
dlhmarketing,2017-03-30 23:21:53+00:00,0,0,"['#brexit', '#bbctw']","I have my fingers crossed, my 4 leaf clover, horse shoe, belt & braces. Right #brexit is win win #bbctw http:// vitw.it/link/DAnNO"
JoshsOpinion,2017-03-30 23:21:34+00:00,0,0,['#Brexit'],#Brexit pic.twitter.com/dejccgH4oy
dompates,2017-03-30 23:21:04+00:00,0,0,"['#Brexit', '#Remain']","True. Ironic that he comes in as the ‘antidote’ to Blair, yet with #Brexit , gives #Remain voters as totemic a reason not to vote for him."
kataisa,2017-03-30 23:20:57+00:00,0,0,"['#Brexit', '#Trump', '#WakeUpEurope', '#swedenincident', '#ParisAttacks', '#LondonAttacks', '#MigrantCrisis', '#NoRefugees', '#tcot']",And this is why we have #Brexit and #Trump #WakeUpEurope #swedenincident #ParisAttacks #LondonAttacks #MigrantCrisis #NoRefugees #tcot
Roxanne_Mashari,2017-03-30 23:20:53+00:00,1,0,"['#Eurovision', '#brexit', '#bbcqt']",Looks like we're going to have to settle for 0 points at #Eurovision for the foreseeable future #brexit #bbcqt
HowToEnjoyCoUk,2017-03-30 23:20:08+00:00,2,1,['#brexit'],ROCK! Cheltenham and @PhelimKellyCom News http:// howtoenjoy.org/?edition_id=51 cf6fc0-159c-11e7-8f18-0cc47a0d164b … Thanks: @DCMS @DefraGovUK @NaraHodge @rustyrockets @VisitBritain #brexit
adb1146,2017-03-30 23:20:06+00:00,0,0,"['#Brexit', '#insurance']",Lloyd’s of London chooses Brussels for post #Brexit EU hub #insurance http://www. propertycasualty360.com/2017/03/30/llo yds-of-london-chooses-brussels-for-post-brexit?eNL=58dd489e150ba00e57122dde&utm_source=PC360_Daily&utm_medium=EMC-Email_editorial&utm_campaign=03302017 …
CleanupSociety,2017-03-30 23:20:05+00:00,0,0,['#brexit'],@bbcthisweek #brexit can be done earlier if MP'S work a full week in parliament & don't have a 2nd or 3rd job to change UK laws from EU
maclpk,2017-03-30 23:19:51+00:00,0,0,['#brexit'],#brexit is making a very Disunited Kingdom. Can we just have Independence for London? Leave everyone else to argue.
IanRichardKyleP,2017-03-30 23:19:35+00:00,1,3,"['#Brexit', '#tweetni', '#Ulster']",Europe's Tempest What Saith The Prophetic Scriptures http://www. sermonaudio.com/sermoninfo.asp ?m=t&s=61905124224 … #Brexit #tweetni #Ulster pic.twitter.com/LJM6pyA1xE
TakingJobs,2017-03-30 23:19:23+00:00,0,0,"['#Brexit', '#StopBrexit']",IwanZtop: RT UKIPNFKN: All EU Nationals Please Register and Vote #Brexit #StopBrexit https://www. gov.uk/register-to-vo te … https://twitter.com/UKIPNFKN/status/847440792821968899/photo/1 pic.twitter.com/vlBOKirJtk
amandsst,2017-03-30 23:19:18+00:00,1,0,"['#Brexit', '#poundtoeuro', '#Poundtoeuro', '#Poundtoeuro']","Yen gains as risky assets lose traction, pound and euro shaky #Brexit #poundtoeuro #Poundtoeuro #Poundtoeuro https:// goo.gl/fb/L25RPy"
EUVoteLeave23rd,2017-03-30 23:19:15+00:00,44,29,['#Brexit'],"Post- #Brexit , Britain must, as a nation that has prided itself on freedom of speech, weed out pernicious & subversive political correctness! pic.twitter.com/hxRwtQM6NT"
Osnovna_Logika,2017-03-30 23:19:10+00:00,0,0,"['#EU', '#FU', '#brexit']","Every day, more and more #EU looks like #FU and gets the same respond. @JHahnEU @FedericaMog #brexit ...to be continued..."
angelovalidiya,2017-03-30 23:18:53+00:00,2,0,"['#science', '#brexit']",Decisions which make the international collaboration difficult have devastating effect over #science . http://www. nature.com/news/how-brexi t-is-changing-the-lives-of-eight-researchers-1.21714 … #brexit
TomSmith557884,2017-03-30 23:18:50+00:00,0,0,"['#Brexit', '#IndyRef2', '#PMQ']",I'm sick of hearing this unelected Prim Minister shite! You vote for a party not a PM! #Brexit #IndyRef2 #PMQ
docmartincohen,2017-03-30 23:18:50+00:00,0,0,['#Brexit'],BBC has abandoned its public duty to serious reporting of #Brexit - clearly pandering to the government. @BBCWorldTonight had gone UKippers!
lifeshooter_,2017-03-30 23:18:41+00:00,0,0,"['#Repost', '#brexit', '#england', '#uk', '#europe', '#staytogheter', '#strongertogheter']",#Repost @CourageSte ・・・ Brexit. #brexit #england #uk #europe #staytogheter #strongertogheter … https://www. instagram.com/p/BSR8rj4gect/
oinoatis,2017-03-30 23:18:35+00:00,0,0,"['#EURUSD', '#EU', '#Britain', '#Eurogroup', '#Brexit', '#FOREX']","#EURUSD @1.0685 & #EU will tell #Britain 2morrow how it aims to negotiate its ""orderly withdrawal"" from the block #Eurogroup #Brexit #FOREX pic.twitter.com/Vgm0gNozM2"
AnitaK316,2017-03-30 23:18:34+00:00,0,0,"['#Yes', '#brexit', '#Truth']","Lies, misinformation, and @StoneColdTruth Roger Stone is READY to TESTIFY! #Yes #brexit #Truth will set you FREE https:// youtu.be/GPj9963r4SU"
tanyaqiin,2017-03-30 23:18:30+00:00,0,0,"['#Brexit', '#PoundtoEuro', '#Poundtoeuro', '#Poundtoeuro']",Pound to Euro + Dollar: Why Next Week Could be Better #Brexit #PoundtoEuro #Poundtoeuro #Poundtoeuro https:// goo.gl/fb/2uoVUE
cmnit,2017-03-30 23:18:28+00:00,0,0,"['#sapevatelo', '#brexit']",Da non dimenticare l'imprescindibile ritorno all'elegante blu scuro dei passaporti imperiali britannici #sapevatelo #brexit https:// twitter.com/Otto_English/s tatus/847532111368261632 …
barry_mcgarry,2017-03-30 23:18:22+00:00,0,0,['#Brexit'],"Just to wind the remainers up a bit more, and this is true - I wouldn't have cared whatever way the referendum turned out. #Brexit"
ActiveCampaigns,2017-03-30 23:18:08+00:00,0,0,"['#bbctw', '#Brexit']",Do you know the vote shares of the 2014 and 2015 national elections? Guess not. Or you'd be asking why the SNP are on again. #bbctw #Brexit https:// twitter.com/beckybarnesb/s tatus/847588301049614343 …
HannahQuirk1,2017-03-30 23:17:52+00:00,2,0,"['#Brexit', '#bbctw']",@campbellclaret on the need to keep fighting #Brexit on #bbctw is well worth watching
OliHenman,2017-03-30 23:17:30+00:00,0,0,"['#Brexit', '#lovenothate']",#Brexit : 'Triggering of Article 50 prompts spike in online hate speech' #lovenothate http://www. independent.co.uk/news/uk/crime/ article-50-trigger-online-hate-speech-brexit-process-begins-racism-researchers-matt-williams-cardiff-a7656666.html …
PeteNorth303,2017-03-30 23:17:05+00:00,10,9,['#Brexit'],#Brexit pic.twitter.com/tWdyj3Clx1
boogiejuice69,2017-03-30 23:16:57+00:00,0,0,"['#brexit', '#brexitshambles', '#Liberals', '#Paris', '#EU']",#brexit MEANS the lying media #brexitshambles UK #Liberals can fuck off to #Paris with their #EU brothers to witness the end of Europe.
obviouslyFAKE2,2017-03-30 23:16:55+00:00,1,0,"['#bbcthisweek', '#brexit']","#bbcthisweek All I can say is we need to unite in positivity, #brexit is happening. Deal with it in a unifide, dignifide way.!!!"
Nowtsabother,2017-03-30 23:16:53+00:00,0,0,"['#brexit', '#bbctw']",Loving the fact best #brexit we can hope for is something close to that we already had #bbctw We already had that muppets!!!!
HIP_Energy,2017-03-30 23:16:46+00:00,0,0,"['#bbctw', '#brexit']",Alistair Campbell on #bbctw i think i just witnessed the effect of stopping drinking and not in a good way #brexit
